scenario,protocol,architecture,traffic_level,num_spots,sim_duration_s,access_loss,backhaul_loss,agg_interval_s,mqtt_qos,coap_mode,amqp_exchange,amqp_ack,amqp_durable,heartbeat_interval_s,n_runs,seeds,metric,mean,std,ci95_low,ci95_high,ci95_halfwidth
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_duplicate_deliveries,99.4,8.905055,88.344687,110.455313,11.055313
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,unique_state_changes_applied_at_cloud,3203.2,85.115803,3097.531714,3308.868286,105.668286
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,duplicate_events_at_cloud,0.0,0.0,0.0,0.0,0.0
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_mean_ms,2910.748,18.140388,2888.227345,2933.268655,22.520655
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p50_ms,2873.86,11.552766,2859.517646,2888.202354,14.342354
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p95_ms,5317.98,63.940633,5238.599945,5397.360055,79.380055
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p99_ms,7416.686,105.840734,7285.288439,7548.083561,131.397561
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,e2e_unique_delivery_ratio,0.91386,0.001817,0.911604,0.916116,0.002256
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,cloud_reflection_ratio,0.982,0.003464,0.977699,0.986301,0.004301
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,physical_delivery_ratio,0.75914,0.00605,0.75163,0.76665,0.00751
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,backhaul_delivery_ratio,0.99836,0.000404,0.997859,0.998861,0.000501
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,message_reduction_ratio,0.80398,0.001184,0.80251,0.80545,0.00147
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,aggregation_ratio,0.4075,0.002058,0.404945,0.410055,0.002555
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_bytes_sent,7594765.0,28623.181444,7559230.323734,7630299.676266,35534.676266
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_sent,13345.2,88.273439,13235.61162,13454.78838,109.58838
A6_adaptive_edge,mqtt,edge_aggregated,peak,500,86400.0,0.05,0.2,5.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_delivered,13322.4,84.848689,13217.063327,13427.736673,105.336673
